DPSA1,FNSA3,FPSA1,MW,nCl,FPSA3,nH,MOMI-X,MOMI-Y,MOMI-Z,FilterItLogS,SLogP,label
-522.7907419894,-0.1641243278,0.3111729268,1506.951333076,0,0.0439021665,53,74144.5790096011,71164.9098438152,17889.7849036097,12.9243142925,-13.7501,1
,,,1179.40380372,0,,75,53996.0473622691,52886.2000327553,5894.4165072185,12.3937490859,-15.2843,0
199.2959053976,-0.1434180054,0.5515615675,2000.408873344,0,0.058401409,112,99916.1694987071,73645.1660046788,53500.547409962,9.0431103002,-7.6816,0
134.1639591091,-0.1506682422,0.5755214525,645.248013536,0,0.0689504422,43,15135.7915444608,13346.7359804802,5407.3632968724,6.2327397272,-8.7219,0
170.66495011,-0.1354601102,0.6287499488,484.238057972,0,0.0569270393,36,8719.123449597,7647.4653245238,2375.6853864203,4.9832749426,-7.2914,0
230.8782183501,-0.1289832215,0.6351915118,585.285736436,0,0.0655559036,43,13686.5638112327,11171.1011067486,5363.5876288643,4.8215805563,-8.4242,0
168.2731745019,-0.1365329048,0.6256551749,454.227493288,0,0.0640286181,34,7891.3788494936,6723.9974054122,2320.4039959839,4.4251482424,-6.6523,0
268.2908845439,-0.1039455694,0.6988622213,467.259127764,0,0.065629154,37,8432.7879996503,7584.1753222964,2305.2975843962,3.9436629619,-6.2958,0
138.9648965087,-0.1301850202,0.590907445,581.265669688,0,0.0674945412,39,10130.1709651741,9003.9009648011,4003.6793828824,3.7818350901,-7.74176,1
265.9567768267,-0.1077013574,0.6641591294,569.290821816,0,0.0603905464,43,13343.8204080581,10495.7259242145,4587.420701647,3.4007844012,-7.5244,1
39.9708402637,-0.1507838014,0.5253532415,612.169034944,0,0.0610283077,32,14748.2532265147,11689.1268412784,4499.7136035189,3.1405359166,-4.4027,0
176.0368210894,-0.1223551898,0.6459197375,451.264213144,0,0.0566032972,37,5490.4771006183,4428.3691644827,2730.8983817391,3.1218087526,-5.2666,0
195.9186596175,-0.0904063071,0.5995081123,923.487849876,0,0.0450435713,73,20362.7366128982,18697.1292754044,10216.4406439815,3.0024916767,0.7117,1
236.6943665779,-0.1142942092,0.6623998197,552.311891608,0,0.0559059393,44,8657.934214459,6446.9212830048,4429.8648565976,2.9527456211,-6.3994,0
67.9899489957,-0.1570929861,0.59743706,182.079038168,0,0.0734974084,14,1122.6789243119,993.2139531397,304.0497874883,2.5659145809,-3.5854,1
-8.381657597,-0.1510579469,0.4882193868,235.001074952,0,0.0685729595,11,1025.6549270197,843.9508084937,607.7743598575,2.4519790589,-1.6633,1
24.7007039006,-0.1368378778,0.5315525258,271.99632392,0,0.0723454784,10,1579.7827188021,1148.9218022445,862.9041629207,2.4294478133,-1.1154,1
265.6173982911,-0.0823173634,0.7262572348,391.243083776,0,0.0538698925,33,5516.8679415811,4980.0639980336,1341.3605554087,2.3761036708,-4.2395,0
